Word,Pronunciation,Tag,PlaceOfArticulation
canoe,K-AH0-N-UW1,C-V0-C-V1,velar-tongue-alveolar-tongue
smooth,S-M-UW1-DH,C-C-V1-C,alveolar-bilabial-tongue-interdental
slid,S-L-IH1-D,C-C-V1-C,alveolar-lateral-tongue-alveolar
on,AA1-N,V1-C,tongue-alveolar
planks,P-L-AE1-NG-K-S,C-C-V1-C-C-C,bilabial-lateral-tongue-velar-velar-alveolar
glue,G-L-UW1,C-C-V1,velar-lateral-tongue
sheet,SH-IY1-T,C-V1-C,palatoalveolar-tongue-alveolar
dark,D-AA1-R-K,C-V1-C-C,alveolar-tongue-alveolar-velar
blue,B-L-UW1,C-C-V1,bilabial-lateral-tongue
background,B-AE1-K-G-R-AW2-N-D,C-V1-C-C-C-VV2-C-C,bilabial-tongue-velar-velar-alveolar-tongue-alveolar-alveolar
it's,IH1-T-S,V1-C-C,tongue-alveolar-alveolar
easy,IY1-Z-IY0,V1-C-V0,tongue-alveolar-tongue
to,T-UW1,C-V1,alveolar-tongue
tell,T-EH1-L,C-V1-C,alveolar-tongue-lateral
of,AH1-V,V1-C,tongue-labiodental
these,DH-IY1-Z,C-V1-C,interdental-tongue-alveolar
leg,L-EH1-G,C-V1-C,lateral-tongue-velar
is,IH1-Z,V1-C,tongue-alveolar
dish,D-IH1-SH,C-V1-C,alveolar-tongue-palatoalveolar
often,AO1-F-AH0-N,VV1-C-V0-C,tongue-labiodental-tongue-alveolar
in,IH0-N,V0-C,tongue-alveolar
juice,JH-UW1-S,C-V1-C,palatoalveolar-tongue-alveolar
lemons,L-EH1-M-AH0-N-Z,C-V1-C-V0-C-C,lateral-tongue-bilabial-tongue-alveolar-alveolar
punch,P-AH1-N-CH,C-V1-C-C,bilabial-tongue-alveolar-palatoalveolar
parked,P-AA1-R-K-T,C-V1-C-C-C,bilabial-tongue-alveolar-velar-alveolar
the,DH-AH0,C-V0,interdental-tongue
fed,F-EH1-D,C-V1-C,labiodental-tongue-alveolar
chopped,CH-AA1-P-T,C-V1-C-C,palatoalveolar-tongue-bilabial-alveolar
corn,K-AO1-R-N,C-VV1-C-C,velar-tongue-alveolar-alveolar
garbage,G-AA1-R-B-IH0-JH,C-V1-C-C-V0-C,velar-tongue-alveolar-bilabial-tongue-palatoalveolar
hogs,HH-AA1-G-Z,C-V1-C-C,pharyngeal-tongue-velar-alveolar
and,AH0-N-D,V0-C-C,tongue-alveolar-alveolar
four,F-AO1-R,C-VV1-C,labiodental-tongue-alveolar
steady,S-T-EH1-D-IY0,C-C-V1-C-V0,alveolar-alveolar-tongue-alveolar-tongue
us,AH1-S,V1-C,tongue-alveolar
large,L-AA1-R-JH,C-V1-C-C,lateral-tongue-alveolar-palatoalveolar
stockings,S-T-AA1-K-IH0-NG-Z,C-C-V1-C-V0-C-C,alveolar-alveolar-tongue-velar-tongue-velar-alveolar
sell,S-EH1-L,C-V1-C,alveolar-tongue-lateral
hard,HH-AA1-R-D,C-V1-C-C,pharyngeal-tongue-alveolar-alveolar
there,DH-EH1-R,C-V1-C,interdental-tongue-alveolar
sun,S-AH1-N,C-V1-C,alveolar-tongue-alveolar
used,Y-UW1-Z-D,C-V1-C-C,velar-tongue-alveolar-alveolar
catch,K-AE1-CH,C-V1-C,velar-tongue-palatoalveolar
pink,P-IH1-NG-K,C-V1-C-C,bilabial-tongue-velar-velar
salmon,S-AE1-M-AH0-N,C-V1-C-V0-C,alveolar-tongue-bilabial-tongue-alveolar
huge,HH-Y-UW1-JH,C-C-V1-C,pharyngeal-velar-tongue-palatoalveolar
follow,F-AA1-L-OW0,C-V1-C-VV0,labiodental-tongue-lateral-tongue
ball,B-AO1-L,C-VV1-C,bilabial-tongue-lateral
get,G-EH1-T,C-V1-C,velar-tongue-alveolar
back,B-AE1-K,C-V1-C,bilabial-tongue-velar
feet,F-IY1-T,C-V1-C,labiodental-tongue-alveolar
pass,P-AE1-S,C-V1-C,bilabial-tongue-alveolar
evening,IY1-V-N-IH0-NG,V1-C-C-V0-C,tongue-labiodental-alveolar-tongue-velar
tea,T-IY1,C-V1,alveolar-tongue
lack,L-AE1-K,C-V1-C,lateral-tongue-velar
heat,HH-IY1-T,C-V1-C,pharyngeal-tongue-alveolar
soft,S-AA1-F-T,C-V1-C-C,alveolar-tongue-labiodental-alveolar
man's,M-AE1-N-Z,C-V1-C-C,bilabial-tongue-alveolar-alveolar
cushion,K-UH1-SH-AH0-N,C-V1-C-V0-C,velar-tongue-palatoalveolar-tongue-alveolar
fall,F-AO1-L,C-VV1-C,labiodental-tongue-lateral
salt,S-AO1-L-T,C-VV1-C-C,alveolar-tongue-lateral-alveolar
sea,S-IY1,C-V1,alveolar-tongue
booth,B-UW1-TH,C-V1-C,bilabial-tongue-interdental
bonds,B-AA1-N-D-Z,C-V1-C-C-C,bilabial-tongue-alveolar-alveolar-alveolar
fifty,F-IH1-F-T-IY0,C-V1-C-C-V0,labiodental-tongue-labiodental-alveolar-tongue
small,S-M-AO1-L,C-C-VV1-C,alveolar-bilabial-tongue-lateral
pup,P-AH1-P,C-V1-C,bilabial-tongue-bilabial
gnawed,N-AO1-D,C-VV1-C,alveolar-tongue-alveolar
sock,S-AA1-K,C-V1-C,alveolar-tongue-velar
fish,F-IH1-SH,C-V1-C,labiodental-tongue-palatoalveolar
bent,B-EH1-N-T,C-V1-C-C,bilabial-tongue-alveolar-alveolar
hook,HH-UH1-K,C-V1-C,pharyngeal-tongue-velar
pants,P-AE1-N-T-S,C-V1-C-C-C,bilabial-tongue-alveolar-alveolar-alveolar
button,B-AH1-T-AH0-N,C-V1-C-V0-C,bilabial-tongue-alveolar-tongue-alveolar
vest,V-EH1-S-T,C-V1-C-C,labiodental-tongue-alveolar-alveolar
far,F-AA1-R,C-V1-C,labiodental-tongue-alveolar
short,SH-AO1-R-T,C-VV1-C-C,palatoalveolar-tongue-alveolar-alveolar
stunned,S-T-AH1-N-D,C-C-V1-C-C,alveolar-alveolar-tongue-alveolar-alveolar
young,Y-AH1-NG,C-V1-C,velar-tongue-velar
beauty,B-Y-UW1-T-IY0,C-C-V1-C-V0,bilabial-velar-tongue-alveolar-tongue
view,V-Y-UW1,C-C-V1,labiodental-velar-tongue
two,T-UW1,C-V1,alveolar-tongue
tank,T-AE1-NG-K,C-V1-C-C,alveolar-tongue-velar-velar
full,F-UH1-L,C-V1-C,labiodental-tongue-lateral
useless,Y-UW1-S-L-AH0-S,C-V1-C-C-V0-C,velar-tongue-alveolar-lateral-tongue-alveolar
tall,T-AO1-L,C-VV1-C,alveolar-tongue-lateral
it,IH1-T,V1-C,tongue-alveolar
morning,M-AO1-R-N-IH0-NG,C-VV1-C-C-V0-C,bilabial-tongue-alveolar-alveolar-tongue-velar
pleasure,P-L-EH1-ZH-ER0,C-C-V1-C-V0,bilabial-lateral-tongue-palatoalveolar-tongue
your,Y-AO1-R,C-VV1-C,velar-tongue-alveolar
left,L-EH1-F-T,C-V1-C-C,lateral-tongue-labiodental-alveolar
path,P-AE1-TH,C-V1-C,bilabial-tongue-interdental
gas,G-AE1-S,C-V1-C,velar-tongue-alveolar
off,AO1-F,VV1-C,tongue-labiodental
mend,M-EH1-N-D,C-V1-C-C,bilabial-tongue-alveolar-alveolar
you,Y-UW1,C-V1,velar-tongue
before,B-IH0-F-AO1-R,C-V0-C-VV1-C,bilabial-tongue-labiodental-tongue-alveolar
badly,B-AE1-D-L-IY0,C-V1-C-C-V0,bilabial-tongue-alveolar-lateral-tongue
hung,HH-AH1-NG,C-V1-C,pharyngeal-tongue-velar
kittens,K-IH1-T-AH0-N-Z,C-V1-C-V0-C-C,velar-tongue-alveolar-tongue-alveolar-alveolar
cat,K-AE1-T,C-V1-C,velar-tongue-alveolar
response,R-IH0-S-P-AA1-N-S,C-V0-C-C-V1-C-C,alveolar-tongue-alveolar-bilabial-tongue-alveolar-alveolar
cooked,K-UH1-K-T,C-V1-C-C,velar-tongue-velar-alveolar
king,K-IH1-NG,C-V1-C,velar-tongue-velar
apart,AH0-P-AA1-R-T,V0-C-V1-C-C,tongue-bilabial-tongue-alveolar-alveolar
sharp,SH-AA1-R-P,C-V1-C-C,palatoalveolar-tongue-alveolar-bilabial
torn,T-AO1-R-N,C-VV1-C-C,alveolar-tongue-alveolar-alveolar
sickness,S-IH1-K-N-AH0-S,C-V1-C-C-V0-C,alveolar-tongue-velar-alveolar-tongue-alveolar
kept,K-EH1-P-T,C-V1-C-C,velar-tongue-bilabial-alveolar
shimmered,SH-IH1-M-ER0-D,C-V1-C-V0-C,palatoalveolar-tongue-bilabial-tongue-alveolar
hot,HH-AA1-T,C-V1-C,pharyngeal-tongue-alveolar
lift,L-IH1-F-T,C-V1-C-C,lateral-tongue-labiodental-alveolar
fence,F-EH1-N-S,C-V1-C-C,labiodental-tongue-alveolar-alveolar
seven,S-EH1-V-AH0-N,C-V1-C-V0-C,alveolar-tongue-labiodental-tongue-alveolar
books,B-UH1-K-S,C-V1-C-C,bilabial-tongue-velar-alveolar
at,AE1-T,V1-C,tongue-alveolar
plunge,P-L-AH1-N-JH,C-C-V1-C-C,bilabial-lateral-tongue-alveolar-palatoalveolar
hop,HH-AA1-P,C-V1-C,pharyngeal-tongue-bilabial
gang,G-AE1-NG,C-V1-C,velar-tongue-velar
store,S-T-AO1-R,C-C-VV1-C,alveolar-alveolar-tongue-alveolar
mesh,M-EH1-SH,C-V1-C,bilabial-tongue-palatoalveolar
keeps,K-IY1-P-S,C-V1-C-C,velar-tongue-bilabial-alveolar
chicks,CH-IH1-K-S,C-V1-C-C,palatoalveolar-tongue-velar-alveolar
inside,IH2-N-S-AY1-D,V2-C-C-VV1-C,tongue-alveolar-alveolar-tongue-alveolar
air,EH1-R,V1-C,tongue-alveolar
passed,P-AE1-S-T,C-V1-C-C,bilabial-tongue-alveolar-alveolar
adding,AE1-D-IH0-NG,V1-C-V0-C,tongue-alveolar-tongue-velar
fast,F-AE1-S-T,C-V1-C-C,labiodental-tongue-alveolar-alveolar
sums,S-AH1-M-Z,C-V1-C-C,alveolar-tongue-bilabial-alveolar
leads,L-IY1-D-Z,C-V1-C-C,lateral-tongue-alveolar-alveolar
flop,F-L-AA1-P,C-C-V1-C,labiodental-lateral-tongue-bilabial
start,S-T-AA1-R-T,C-C-V1-C-C,alveolar-alveolar-tongue-alveolar-alveolar
saw,S-AO1,C-VV1,alveolar-tongue
moved,M-UW1-V-D,C-V1-C-C,bilabial-tongue-labiodental-alveolar
march,M-AA1-R-CH,C-V1-C-C,bilabial-tongue-alveolar-palatoalveolar
past,P-AE1-S-T,C-V1-C-C,bilabial-tongue-alveolar-alveolar
next,N-EH1-K-S-T,C-V1-C-C-C,alveolar-tongue-velar-alveolar-alveolar
sugar,SH-UH1-G-ER0,C-V1-C-V0,palatoalveolar-tongue-velar-tongue
fudge,F-AH1-JH,C-V1-C,labiodental-tongue-palatoalveolar
cup,K-AH1-P,C-V1-C,velar-tongue-bilabial
near,N-IH1-R,C-V1-C,alveolar-tongue-alveolar
porch,P-AO1-R-CH,C-VV1-C-C,bilabial-tongue-alveolar-palatoalveolar
steps,S-T-EH1-P-S,C-C-V1-C-C,alveolar-alveolar-tongue-bilabial-alveolar
lost,L-AO1-S-T,C-VV1-C-C,lateral-tongue-alveolar-alveolar
storm,S-T-AO1-R-M,C-C-VV1-C-C,alveolar-alveolar-tongue-alveolar-bilabial
pencil,P-EH1-N-S-AH0-L,C-V1-C-C-V0-C,bilabial-tongue-alveolar-alveolar-tongue-lateral
use,Y-UW1-S,C-V1-C,velar-tongue-alveolar
half,HH-AE1-F,C-V1-C,pharyngeal-tongue-labiodental
hardware,HH-AA1-R-D-W-EH2-R,C-V1-C-C-C-V2-C,pharyngeal-tongue-alveolar-alveolar-labiovelar-tongue-alveolar
he,HH-IY1,C-V1,pharyngeal-tongue
clock,K-L-AA1-K,C-C-V1-C,velar-lateral-tongue-velar
period,P-IH1-R-IY0-AH0-D,C-V1-C-V0-V0-C,bilabial-tongue-alveolar-tongue-tongue-alveolar
mark,M-AA1-R-K,C-V1-C-C,bilabial-tongue-alveolar-velar
cut,K-AH1-T,C-V1-C,velar-tongue-alveolar
field,F-IY1-L-D,C-V1-C-C,labiodental-tongue-lateral-alveolar
cars,K-AA1-R-Z,C-V1-C-C,velar-tongue-alveolar-alveolar
busses,B-AH1-S-AH0-Z,C-V1-C-V0-C,bilabial-tongue-alveolar-tongue-alveolar
stalled,S-T-AO1-L-D,C-C-VV1-C-C,alveolar-alveolar-tongue-lateral-alveolar
set,S-EH1-T,C-V1-C,alveolar-tongue-alveolar
hit,HH-IH1-T,C-V1-C,pharyngeal-tongue-alveolar
floor,F-L-AO1-R,C-C-VV1-C,labiodental-lateral-tongue-alveolar
season,S-IY1-Z-AH0-N,C-V1-C-V0-C,alveolar-tongue-alveolar-tongue-alveolar
this,DH-IH1-S,C-V1-C,interdental-tongue-alveolar
dune,D-UW1-N,C-V1-C,alveolar-tongue-alveolar
edge,EH1-JH,V1-C,tongue-palatoalveolar
cue,K-Y-UW1,C-C-V1,velar-velar-tongue
leave,L-IY1-V,C-V1-C,lateral-tongue-labiodental
actor,AE1-K-T-ER0,V1-C-C-V0,tongue-velar-alveolar-tongue
yacht,Y-AA1-T,C-V1-C,velar-tongue-alveolar
into,IH1-N-T-UW0,V1-C-C-V0,tongue-alveolar-alveolar-tongue
met,M-EH1-T,C-V1-C,bilabial-tongue-alveolar
sand,S-AE1-N-D,C-V1-C-C,alveolar-tongue-alveolar-alveolar
ink,IH1-NG-K,V1-C-C,tongue-velar-velar
finished,F-IH1-N-IH0-SH-T,C-V1-C-V0-C-C,labiodental-tongue-alveolar-tongue-palatoalveolar-alveolar
seized,S-IY1-Z-D,C-V1-C-C,alveolar-tongue-alveolar-alveolar
sixteen,S-IH0-K-S-T-IY1-N,C-V0-C-C-C-V1-C,alveolar-tongue-velar-alveolar-alveolar-tongue-alveolar
lease,L-IY1-S,C-V1-C,lateral-tongue-alveolar
pet,P-EH1-T,C-V1-C,bilabial-tongue-alveolar
horn,HH-AO1-R-N,C-VV1-C-C,pharyngeal-tongue-alveolar-alveolar
car,K-AA1-R,C-V1-C,velar-tongue-alveolar
cop,K-AA1-P,C-V1-C,velar-tongue-bilabial
beat,B-IY1-T,C-V1-C,bilabial-tongue-alveolar
heart,HH-AA1-R-T,C-V1-C-C,pharyngeal-tongue-alveolar-alveolar
thin,TH-IH1-N,C-V1-C,interdental-tongue-alveolar
attacked,AH0-T-AE1-K-T,V0-C-V1-C-C,tongue-alveolar-tongue-velar-alveolar
big,B-IH1-G,C-V1-C,bilabial-tongue-velar
force,F-AO1-R-S,C-VV1-C-C,labiodental-tongue-alveolar-alveolar
task,T-AE1-S-K,C-V1-C-C,alveolar-tongue-alveolar-velar
see,S-IY1,C-V1,alveolar-tongue
glaring,G-L-EH1-R-IH0-NG,C-C-V1-C-V0-C,velar-lateral-tongue-alveolar-tongue-velar
scared,S-K-EH1-R-D,C-C-V1-C-C,alveolar-velar-tongue-alveolar-alveolar
more,M-AO1-R,C-VV1-C,bilabial-tongue-alveolar
factors,F-AE1-K-T-ER0-Z,C-V1-C-C-V0-C,labiodental-tongue-velar-alveolar-tongue-alveolar
here,HH-IY1-R,C-V1-C,pharyngeal-tongue-alveolar
hat,HH-AE1-T,C-V1-C,pharyngeal-tongue-alveolar
too,T-UW1,C-V1,alveolar-tongue
lose,L-UW1-Z,C-V1-C,lateral-tongue-alveolar
his,HH-IH1-Z,C-V1-C,pharyngeal-tongue-alveolar
parts,P-AA1-R-T-S,C-V1-C-C-C,bilabial-tongue-alveolar-alveolar-alveolar
men,M-EH1-N,C-V1-C,bilabial-tongue-alveolar
but,B-AH1-T,C-V1-C,bilabial-tongue-alveolar
seldom,S-EH1-L-D-AH0-M,C-V1-C-C-V0-C,alveolar-tongue-lateral-alveolar-tongue-bilabial
always,AO1-L-W-EY2-Z,VV1-C-C-VV2-C,tongue-lateral-labiovelar-tongue-alveolar
barn,B-AA1-R-N,C-V1-C-C,bilabial-tongue-alveolar-alveolar
door,D-AO1-R,C-VV1-C,alveolar-tongue-alveolar
slush,S-L-AH1-SH,C-C-V1-C,alveolar-lateral-tongue-palatoalveolar
deep,D-IY1-P,C-V1-C,alveolar-tongue-bilabial
along,AH0-L-AO1-NG,V0-C-VV1-C,tongue-lateral-tongue-velar
costs,K-AA1-S-T-S,C-V1-C-C-C,velar-tongue-alveolar-alveolar-alveolar
eggs,EH1-G-Z,V1-C-C,tongue-velar-alveolar
than,DH-AE1-N,C-V1-C,interdental-tongue-alveolar
fin,F-IH1-N,C-V1-C,labiodental-tongue-alveolar
dull,D-AH1-L,C-V1-C,alveolar-tongue-lateral
stupid,S-T-UW1-P-AH0-D,C-C-V1-C-V0-C,alveolar-alveolar-tongue-bilabial-tongue-alveolar
seems,S-IY1-M-Z,C-V1-C-C,alveolar-tongue-bilabial-alveolar
stop,S-T-AA1-P,C-C-V1-C,alveolar-alveolar-tongue-bilabial
sinking,S-IH1-NG-K-IH0-NG,C-V1-C-C-V0-C,alveolar-tongue-velar-velar-tongue-velar
ended,EH1-N-D-AH0-D,V1-C-C-V0-C,tongue-alveolar-alveolar-tongue-alveolar
june,JH-UW1-N,C-V1-C,palatoalveolar-tongue-alveolar
that,DH-AE1-T,C-V1-C,interdental-tongue-alveolar
tusk,T-AH1-S-K,C-V1-C-C,alveolar-tongue-alveolar-velar
costly,K-AA1-S-T-L-IY0,C-V1-C-C-C-V0,velar-tongue-alveolar-alveolar-lateral-tongue
gifts,G-IH1-F-T-S,C-V1-C-C-C,velar-tongue-labiodental-alveolar-alveolar
ten,T-EH1-N,C-V1-C,alveolar-tongue-alveolar
pins,P-IH1-N-Z,C-V1-C-C,bilabial-tongue-alveolar-alveolar
order,AO1-R-D-ER0,VV1-C-C-V0,tongue-alveolar-alveolar-tongue
every,EH1-V-ER0-IY0,V1-C-V0-V0,tongue-labiodental-tongue-tongue
also,AO1-L-S-OW0,VV1-C-C-VV0,tongue-lateral-alveolar-tongue
gives,G-IH1-V-Z,C-V1-C-C,velar-tongue-labiodental-alveolar
cats,K-AE1-T-S,C-V1-C-C,velar-tongue-alveolar-alveolar
dogs,D-AA1-G-Z,C-V1-C-C,alveolar-tongue-velar-alveolar
each,IY1-CH,V1-C,tongue-palatoalveolar
other,AH1-DH-ER0,V1-C-V0,tongue-interdental-tongue
began,B-IH0-G-AE1-N,C-V0-C-V1-C,bilabial-tongue-velar-tongue-alveolar
new,N-UW1,C-V1,alveolar-tongue
glass,G-L-AE1-S,C-C-V1-C,velar-lateral-tongue-alveolar
add,AE1-D,V1-C,tongue-alveolar
sum,S-AH1-M,C-V1-C,alveolar-tongue-bilabial
thieves,TH-IY1-V-Z,C-V1-C-C,interdental-tongue-labiodental-alveolar
who,HH-UW1,C-V1,pharyngeal-tongue
cheese,CH-IY1-Z,C-V1-C,palatoalveolar-tongue-alveolar
orders,AO1-R-D-ER0-Z,VV1-C-C-V0-C,tongue-alveolar-alveolar-tongue-alveolar
speed,S-P-IY1-D,C-C-V1-C,alveolar-bilabial-tongue-alveolar
act,AE1-K-T,V1-C-C,tongue-velar-alveolar
hog,HH-AA1-G,C-V1-C,pharyngeal-tongue-velar
under,AH1-N-D-ER0,V1-C-C-V0,tongue-alveolar-alveolar-tongue
move,M-UW1-V,C-V1-C,bilabial-tongue-labiodental
vat,V-AE1-T,C-V1-C,labiodental-tongue-alveolar
bark,B-AA1-R-K,C-V1-C-C,bilabial-tongue-alveolar-velar
leaves,L-IY1-V-Z,C-V1-C-C,lateral-tongue-labiodental-alveolar
yellow,Y-EH1-L-OW0,C-V1-C-VV0,velar-tongue-lateral-tongue
pennant,P-EH1-N-AH0-N-T,C-V1-C-V0-C-C,bilabial-tongue-alveolar-tongue-alveolar-alveolar
log,L-AO1-G,C-VV1-C,lateral-tongue-velar
peat,P-IY1-T,C-V1-C,bilabial-tongue-alveolar
after,AE1-F-T-ER0,V1-C-C-V0,tongue-labiodental-alveolar-tongue
logs,L-AO1-G-Z,C-VV1-C-C,lateral-tongue-velar-alveolar
give,G-IH1-V,C-V1-C,velar-tongue-labiodental
ordered,AO1-R-D-ER0-D,VV1-C-C-V0-C,tongue-alveolar-alveolar-tongue-alveolar
peach,P-IY1-CH,C-V1-C,bilabial-tongue-palatoalveolar
hand,HH-AE1-N-D,C-V1-C-C,pharyngeal-tongue-alveolar-alveolar
carpet,K-AA1-R-P-AH0-T,C-V1-C-C-V0-C,velar-tongue-alveolar-bilabial-tongue-alveolar
hemp,HH-EH1-M-P,C-V1-C-C,pharyngeal-tongue-bilabial-bilabial
score,S-K-AO1-R,C-C-VV1-C,alveolar-velar-tongue-alveolar
things,TH-IH1-NG-Z,C-V1-C-C,interdental-tongue-velar-alveolar
lists,L-IH1-S-T-S,C-V1-C-C-C,lateral-tongue-alveolar-alveolar-alveolar
less,L-EH1-S,C-V1-C,lateral-tongue-alveolar
got,G-AA1-T,C-V1-C,velar-tongue-alveolar
done,D-AH1-N,C-V1-C,alveolar-tongue-alveolar
harder,HH-AA1-R-D-ER0,C-V1-C-C-V0,pharyngeal-tongue-alveolar-alveolar-tongue
boss,B-AA1-S,C-V1-C,bilabial-tongue-alveolar
contents,K-AA1-N-T-EH0-N-T-S,C-V1-C-C-V0-C-C-C,velar-tongue-alveolar-alveolar-tongue-alveolar-alveolar-alveolar
cleanse,K-L-EH1-N-Z,C-C-V1-C-C,velar-lateral-tongue-alveolar-alveolar
booze,B-UW1-Z,C-V1-C,bilabial-tongue-alveolar
caught,K-AA1-T,C-V1-C,velar-tongue-alveolar
paw,P-AO1,C-VV1,bilabial-tongue
its,IH1-T-S,V1-C-C,tongue-alveolar-alveolar
be,B-IY1,C-V1,bilabial-tongue
seen,S-IY1-N,C-V1-C,alveolar-tongue-alveolar
farther,F-AA1-R-DH-ER0,C-V1-C-C-V0,labiodental-tongue-alveolar-interdental-tongue
shore,SH-AO1-R,C-VV1-C,palatoalveolar-tongue-alveolar
took,T-UH1-K,C-V1-C,alveolar-tongue-velar
