Word,Pronunciation,Tag,PlaceOfArticulation
piece,P-IY1-S,C-V1-C,bilabial-tongue-alveolar
stiff,S-T-IH1-F,C-C-V1-C,alveolar-alveolar-tongue-labiodental
fund,F-AH1-N-D,C-V1-C-C,labiodental-tongue-alveolar-alveolar
choose,CH-UW1-Z,C-V1-C,palatoalveolar-tongue-alveolar
plea,P-L-IY1,C-C-V1,bilabial-lateral-tongue
again,AH0-G-EH1-N,V0-C-V1-C,tongue-velar-tongue-alveolar
lent,L-EH1-N-T,C-V1-C-C,lateral-tongue-alveolar-alveolar
gaunt,G-AO1-N-T,C-VV1-C-C,velar-tongue-alveolar-alveolar
happen,HH-AE1-P-AH0-N,C-V1-C-V0-C,pharyngeal-tongue-bilabial-tongue-alveolar
duke,D-UW1-K,C-V1-C,alveolar-tongue-velar
park,P-AA1-R-K,C-V1-C-C,bilabial-tongue-alveolar-velar
guests,G-EH1-S-T-S,C-V1-C-C-C,velar-tongue-alveolar-alveolar-alveolar
fierce,F-IH1-R-S,C-V1-C-C,labiodental-tongue-alveolar-alveolar
comes,K-AH1-M-Z,C-V1-C-C,velar-tongue-bilabial-alveolar
lofty,L-AO1-F-T-IY0,C-VV1-C-C-V0,lateral-tongue-labiodental-alveolar-tongue
lush,L-AH1-SH,C-V1-C,lateral-tongue-palatoalveolar
children,CH-IH1-L-D-R-AH0-N,C-V1-C-C-C-V0-C,palatoalveolar-tongue-lateral-alveolar-alveolar-tongue-alveolar
team,T-IY1-M,C-V1-C,alveolar-tongue-bilabial
looks,L-UH1-K-S,C-V1-C-C,lateral-tongue-velar-alveolar
ox,AA1-K-S,V1-C-C,tongue-velar-alveolar
sit,S-IH1-T,C-V1-C,alveolar-tongue-alveolar
steep,S-T-IY1-P,C-C-V1-C,alveolar-alveolar-tongue-bilabial
for,F-AO1-R,C-VV1-C,labiodental-tongue-alveolar
moves,M-UW1-V-Z,C-V1-C-C,bilabial-tongue-labiodental-alveolar
moss,M-AO1-S,C-VV1-C,bilabial-tongue-alveolar
northern,N-AO1-R-DH-ER0-N,C-VV1-C-C-V0-C,alveolar-tongue-alveolar-interdental-tongue-alveolar
pitch,P-IH1-CH,C-V1-C,bilabial-tongue-palatoalveolar
latch,L-AE1-CH,C-V1-C,lateral-tongue-palatoalveolar
goose,G-UW1-S,C-V1-C,velar-tongue-alveolar
sink,S-IH1-NG-K,C-V1-C-C,alveolar-tongue-velar-velar
dishes,D-IH1-SH-AH0-Z,C-V1-C-V0-C,alveolar-tongue-palatoalveolar-tongue-alveolar
cure,K-Y-UH1-R,C-C-V1-C,velar-velar-tongue-alveolar
stubborn,S-T-AH1-B-ER0-N,C-C-V1-C-V0-C,alveolar-alveolar-tongue-bilabial-tongue-alveolar
facts,F-AE1-K-T-S,C-V1-C-C-C,labiodental-tongue-velar-alveolar-alveolar
flaps,F-L-AE1-P-S,C-C-V1-C-C,labiodental-lateral-tongue-bilabial-alveolar
fleet,F-L-IY1-T,C-C-V1-C,labiodental-lateral-tongue-alveolar
loop,L-UW1-P,C-V1-C,lateral-tongue-bilabial
tear,T-EH1-R,C-V1-C,alveolar-tongue-alveolar
pad,P-AE1-D,C-V1-C,bilabial-tongue-alveolar
sleek,S-L-IY1-K,C-C-V1-C,alveolar-lateral-tongue-velar
color,K-AH1-L-ER0,C-V1-C-V0,velar-tongue-lateral-tongue
miss,M-IH1-S,C-V1-C,bilabial-tongue-alveolar
kits,K-IH1-T-S,C-V1-C-C,velar-tongue-alveolar-alveolar
pack,P-AE1-K,C-V1-C,bilabial-tongue-velar
settle,S-EH1-T-AH0-L,C-V1-C-V0-C,alveolar-tongue-alveolar-tongue-lateral
peg,P-EH1-G,C-V1-C,bilabial-tongue-velar
skin,S-K-IH1-N,C-C-V1-C,alveolar-velar-tongue-alveolar
jangled,JH-AE1-NG-G-AH0-L-D,C-V1-C-C-V0-C-C,palatoalveolar-tongue-velar-velar-tongue-lateral-alveolar
slam,S-L-AE1-M,C-C-V1-C,alveolar-lateral-tongue-bilabial
maps,M-AE1-P-S,C-V1-C-C,bilabial-tongue-bilabial-alveolar
different,D-IH1-F-ER0-AH0-N-T,C-V1-C-V0-V0-C-C,alveolar-tongue-labiodental-tongue-tongue-alveolar-alveolar
tunes,T-UW1-N-Z,C-V1-C-C,alveolar-tongue-alveolar-alveolar
tinged,T-IH1-NG-D,C-V1-C-C,alveolar-tongue-velar-alveolar
orange,AO1-R-AH0-N-JH,VV1-C-V0-C-C,tongue-alveolar-tongue-alveolar-palatoalveolar
pods,P-AA1-D-Z,C-V1-C-C,bilabial-tongue-alveolar-alveolar
ferment,F-ER0-M-EH1-N-T,C-V0-C-V1-C-C,labiodental-tongue-bilabial-tongue-alveolar-alveolar
fields,F-IY1-L-D-Z,C-V1-C-C-C,labiodental-tongue-lateral-alveolar-alveolar
balked,B-AO1-K-T,C-VV1-C-C,bilabial-tongue-velar-alveolar
hitch,HH-IH1-CH,C-V1-C,pharyngeal-tongue-palatoalveolar
shed,SH-EH1-D,C-V1-C,palatoalveolar-tongue-alveolar
sheath,SH-IY1-TH,C-V1-C,palatoalveolar-tongue-interdental
slant,S-L-AE1-N-T,C-C-V1-C-C,alveolar-lateral-tongue-alveolar-alveolar
smatter,S-M-AE1-T-ER0,C-C-V1-C-V0,alveolar-bilabial-tongue-alveolar-tongue
none,N-AH1-N,C-V1-C,alveolar-tongue-alveolar
contest,K-AA1-N-T-EH0-S-T,C-V1-C-C-V0-C-C,velar-tongue-alveolar-alveolar-tongue-alveolar-alveolar
tang,T-AE1-NG,C-V1-C,alveolar-tongue-velar
salty,S-AO1-L-T-IY0,C-VV1-C-C-V0,alveolar-tongue-lateral-alveolar-tongue
cod,K-AA1-D,C-V1-C,velar-tongue-alveolar
business,B-IH1-Z-N-AH0-S,C-V1-C-C-V0-C,bilabial-tongue-alveolar-alveolar-tongue-alveolar
slab,S-L-AE1-B,C-C-V1-C,alveolar-lateral-tongue-bilabial
hewn,HH-Y-UW1-N,C-C-V1-C,pharyngeal-velar-tongue-alveolar
dunk,D-AH1-NG-K,C-V1-C-C,alveolar-tongue-velar-velar
biscuits,B-IH1-S-K-AH0-T-S,C-V1-C-C-V0-C-C,bilabial-tongue-alveolar-velar-tongue-alveolar-alveolar
tinsel,T-IH1-N-S-AH0-L,C-V1-C-C-V0-C,alveolar-tongue-alveolar-alveolar-tongue-lateral
missed,M-IH1-S-T,C-V1-C-C,bilabial-tongue-alveolar-alveolar
pick,P-IH1-K,C-V1-C,bilabial-tongue-velar
card,K-AA1-R-D,C-V1-C-C,velar-tongue-alveolar-alveolar
informs,IH2-N-F-AO1-R-M-Z,V2-C-C-VV1-C-C-C,tongue-alveolar-labiodental-tongue-alveolar-bilabial-alveolar
ought,AO1-T,VV1-C,tongue-alveolar
batches,B-AE1-CH-AH0-Z,C-V1-C-V0-C,bilabial-tongue-palatoalveolar-tongue-alveolar
mantel,M-AE1-N-T-AH0-L,C-V1-C-C-V0-C,bilabial-tongue-alveolar-alveolar-tongue-lateral
shift,SH-IH1-F-T,C-V1-C-C,palatoalveolar-tongue-labiodental-alveolar
extra,EH1-K-S-T-R-AH0,V1-C-C-C-C-V0,tongue-velar-alveolar-alveolar-alveolar-tongue
dim,D-IH1-M,C-V1-C,alveolar-tongue-bilabial
scoot,S-K-UW1-T,C-C-V1-C,alveolar-velar-tongue-alveolar
job,JH-AA1-B,C-V1-C,palatoalveolar-tongue-bilabial
admit,AH0-D-M-IH1-T,V0-C-C-V1-C,tongue-alveolar-bilabial-tongue-alveolar
faults,F-AO1-L-T-S,C-VV1-C-C-C,labiodental-tongue-lateral-alveolar-alveolar
stuffed,S-T-AH1-F-T,C-C-V1-C-C,alveolar-alveolar-tongue-labiodental-alveolar
moving,M-UW1-V-IH0-NG,C-V1-C-V0-C,bilabial-tongue-labiodental-tongue-velar
van,V-AE1-N,C-V1-C,labiodental-tongue-alveolar
stitch,S-T-IH1-CH,C-C-V1-C,alveolar-alveolar-tongue-palatoalveolar
shortened,SH-AO1-R-T-AH0-N-D,C-VV1-C-C-V0-C-C,palatoalveolar-tongue-alveolar-alveolar-tongue-alveolar-alveolar
pocket,P-AA1-K-AH0-T,C-V1-C-V0-C,bilabial-tongue-velar-tongue-alveolar
gloss,G-L-AO1-S,C-C-VV1-C,velar-lateral-tongue-alveolar
unfit,AH0-N-F-IH1-T,V0-C-C-V1-C,tongue-alveolar-labiodental-tongue-alveolar
pattered,P-AE1-T-ER0-D,C-V1-C-V0-C,bilabial-tongue-alveolar-tongue-alveolar
stamped,S-T-AE1-M-P-T,C-C-V1-C-C-C,alveolar-alveolar-tongue-bilabial-bilabial-alveolar
sheets,SH-IY1-T-S,C-V1-C-C,palatoalveolar-tongue-alveolar-alveolar
jammed,JH-AE1-M-D,C-V1-C-C,palatoalveolar-tongue-bilabial-alveolar
error,EH1-R-ER0,V1-C-V0,tongue-alveolar-tongue
judge,JH-AH1-JH,C-V1-C,palatoalveolar-tongue-palatoalveolar
collapse,K-AH0-L-AE1-P-S,C-V0-C-V1-C-C,velar-tongue-lateral-tongue-bilabial-alveolar
match,M-AE1-CH,C-V1-C,bilabial-tongue-palatoalveolar
jell,JH-EH1-L,C-V1-C,palatoalveolar-tongue-lateral
puts,P-UH1-T-S,C-V1-C-C,bilabial-tongue-alveolar-alveolar
bombs,B-AA1-M-Z,C-V1-C-C,bilabial-tongue-bilabial-alveolar
stare,S-T-EH1-R,C-C-V1-C,alveolar-alveolar-tongue-alveolar
leash,L-IY1-SH,C-V1-C,lateral-tongue-palatoalveolar
feline,F-IY1-L-AY2-N,C-V1-C-VV2-C,labiodental-tongue-lateral-tongue-alveolar
net,N-EH1-T,C-V1-C,alveolar-tongue-alveolar
dip,D-IH1-P,C-V1-C,alveolar-tongue-bilabial
please,P-L-IY1-Z,C-C-V1-C,bilabial-lateral-tongue-alveolar
answer,AE1-N-S-ER0,V1-C-C-V0,tongue-alveolar-alveolar-tongue
heir,EH1-R,V1-C,tongue-alveolar
dew,D-UW1,C-V1,alveolar-tongue
tore,T-AO1-R,C-VV1-C,alveolar-tongue-alveolar
called,K-AO1-L-D,C-VV1-C-C,velar-tongue-lateral-alveolar
hear,HH-IY1-R,C-V1-C,pharyngeal-tongue-alveolar
depth,D-EH1-P-TH,C-V1-C-C,alveolar-tongue-bilabial-interdental
chicken,CH-IH1-K-AH0-N,C-V1-C-V0-C,palatoalveolar-tongue-velar-tongue-alveolar
clear,K-L-IH1-R,C-C-V1-C,velar-lateral-tongue-alveolar
kick,K-IH1-K,C-V1-C,velar-tongue-velar
helps,HH-EH1-L-P-S,C-V1-C-C-C,pharyngeal-tongue-lateral-bilabial-alveolar
perfect,P-ER0-F-EH1-K-T,C-V0-C-V1-C-C,bilabial-tongue-labiodental-tongue-velar-alveolar
very,V-EH1-R-IY0,C-V1-C-V0,labiodental-tongue-alveolar-tongue
tool,T-UW1-L,C-V1-C,alveolar-tongue-lateral
boards,B-AO1-R-D-Z,C-VV1-C-C-C,bilabial-tongue-alveolar-alveolar-alveolar
hardly,HH-AA1-R-D-L-IY0,C-V1-C-C-C-V0,pharyngeal-tongue-alveolar-alveolar-lateral-tongue
year,Y-IH1-R,C-V1-C,velar-tongue-alveolar
bill,B-IH1-L,C-V1-C,bilabial-tongue-lateral
slang,S-L-AE1-NG,C-C-V1-C,alveolar-lateral-tongue-velar
been,B-IH1-N,C-V1-C,bilabial-tongue-alveolar
level,L-EH1-V-AH0-L,C-V1-C-V0-C,lateral-tongue-labiodental-tongue-lateral
skill,S-K-IH1-L,C-C-V1-C,alveolar-velar-tongue-lateral
littered,L-IH1-T-ER0-D,C-V1-C-V0-C,lateral-tongue-alveolar-tongue-alveolar
cent,S-EH1-N-T,C-V1-C-C,alveolar-tongue-alveolar-alveolar
column,K-AA1-L-AH0-M,C-V1-C-V0-C,velar-tongue-lateral-tongue-bilabial
cobs,K-AA1-B-Z,C-V1-C-C,velar-tongue-bilabial-alveolar
gift,G-IH1-F-T,C-V1-C-C,velar-tongue-labiodental-alveolar
lure,L-UH1-R,C-V1-C,lateral-tongue-alveolar
doorknob,D-UW1-R-N-AA0-B,C-V1-C-C-V0-C,alveolar-tongue-alveolar-alveolar-tongue-bilabial
cheat,CH-IY1-T,C-V1-C,palatoalveolar-tongue-alveolar
snapper,S-N-AE1-P-ER0,C-C-V1-C-V0,alveolar-alveolar-tongue-bilabial-tongue
middle,M-IH1-D-AH0-L,C-V1-C-V0-C,bilabial-tongue-alveolar-tongue-lateral
canned,K-AE1-N-D,C-V1-C-C,velar-tongue-alveolar-alveolar
closet,K-L-AA1-Z-AH0-T,C-C-V1-C-V0-C,velar-lateral-tongue-alveolar-tongue-alveolar
stalk,S-T-AO1-K,C-C-VV1-C,alveolar-alveolar-tongue-velar
fallen,F-AA1-L-AH0-N,C-V1-C-V0-C,labiodental-tongue-lateral-tongue-alveolar
heap,HH-IY1-P,C-V1-C,pharyngeal-tongue-bilabial
barrel,B-AE1-R-AH0-L,C-V1-C-V0-C,bilabial-tongue-alveolar-tongue-lateral
copper,K-AA1-P-ER0,C-V1-C-V0,velar-tongue-bilabial-tongue
clan,K-L-AE1-N,C-C-V1-C,velar-lateral-tongue-alveolar
comfort,K-AH1-M-F-ER0-T,C-V1-C-C-V0-C,velar-tongue-bilabial-labiodental-tongue-alveolar
endure,EH0-N-D-Y-UH1-R,V0-C-C-C-V1-C,tongue-alveolar-alveolar-velar-tongue-alveolar
thaw,TH-AO1,C-VV1,interdental-tongue
key,K-IY1,C-V1,velar-tongue
tend,T-EH1-N-D,C-V1-C-C,alveolar-tongue-alveolar-alveolar
mix,M-IH1-K-S,C-V1-C-C,bilabial-tongue-velar-alveolar
pleasant,P-L-EH1-Z-AH0-N-T,C-C-V1-C-V0-C-C,bilabial-lateral-tongue-alveolar-tongue-alveolar-alveolar
peddler,P-EH1-D-L-ER0,C-V1-C-C-V0,bilabial-tongue-alveolar-lateral-tongue
touch,T-AH1-CH,C-V1-C,alveolar-tongue-palatoalveolar
pal,P-AE1-L,C-V1-C,bilabial-tongue-lateral
sausage,S-AO1-S-AH0-JH,C-VV1-C-V0-C,alveolar-tongue-alveolar-tongue-palatoalveolar
sank,S-AE1-NG-K,C-V1-C-C,alveolar-tongue-velar-velar
flew,F-L-UW1,C-C-V1,labiodental-lateral-tongue
youth,Y-UW1-TH,C-V1-C,velar-tongue-interdental
lived,L-IH1-V-D,C-V1-C-C,lateral-tongue-labiodental-alveolar
sip,S-IH1-P,C-V1-C,alveolar-tongue-bilabial
equal,IY1-K-W-AH0-L,V1-C-C-V0-C,tongue-velar-labiovelar-tongue-lateral
packed,P-AE1-K-T,C-V1-C-C,bilabial-tongue-velar-alveolar
shelter,SH-EH1-L-T-ER0,C-V1-C-C-V0,palatoalveolar-tongue-lateral-alveolar-tongue
locked,L-AA1-K-T,C-V1-C-C,lateral-tongue-velar-alveolar
shall,SH-AE1-L,C-V1-C,palatoalveolar-tongue-lateral
shield,SH-IY1-L-D,C-V1-C-C,palatoalveolar-tongue-lateral-alveolar
blushed,B-L-AH1-SH-T,C-C-V1-C-C,bilabial-lateral-tongue-palatoalveolar-alveolar
sandy,S-AE1-N-D-IY0,C-V1-C-C-V0,alveolar-tongue-alveolar-alveolar-tongue
partner,P-AA1-R-T-N-ER0,C-V1-C-C-C-V0,bilabial-tongue-alveolar-alveolar-alveolar-tongue
bid,B-IH1-D,C-V1-C,bilabial-tongue-alveolar
scare,S-K-EH1-R,C-C-V1-C,alveolar-velar-tongue-alveolar
peep,P-IY1-P,C-V1-C,bilabial-tongue-bilabial
dill,D-IH1-L,C-V1-C,alveolar-tongue-lateral
fill,F-IH1-L,C-V1-C,labiodental-tongue-lateral
board,B-AO1-R-D,C-VV1-C-C,bilabial-tongue-alveolar-alveolar
mule,M-Y-UW1-L,C-C-V1-C,bilabial-velar-tongue-lateral
package,P-AE1-K-AH0-JH,C-V1-C-V0-C,bilabial-tongue-velar-tongue-palatoalveolar
flickered,F-L-IH1-K-ER0-D,C-C-V1-C-V0-C,labiodental-lateral-tongue-velar-tongue-alveolar
tumbles,T-AH1-M-B-AH0-L-Z,C-V1-C-C-V0-C-C,alveolar-tongue-bilabial-bilabial-tongue-lateral-alveolar
market,M-AA1-R-K-AH0-T,C-V1-C-C-V0-C,bilabial-tongue-alveolar-velar-tongue-alveolar
calves,K-AE1-V-Z,C-V1-C-C,velar-tongue-labiodental-alveolar
sang,S-AE1-NG,C-V1-C,alveolar-tongue-velar
dots,D-AA1-T-S,C-V1-C-C,alveolar-tongue-alveolar-alveolar
luggage,L-AH1-G-AH0-JH,C-V1-C-V0-C,lateral-tongue-velar-tongue-palatoalveolar
narrow,N-EH1-R-OW0,C-V1-C-VV0,alveolar-tongue-alveolar-tongue
errand,EH1-R-AH0-N-D,V1-C-V0-C-C,tongue-alveolar-tongue-alveolar-alveolar
shell,SH-EH1-L,C-V1-C,palatoalveolar-tongue-lateral
severe,S-AH0-V-IH1-R,C-V0-C-V1-C,alveolar-tongue-labiodental-tongue-alveolar
limp,L-IH1-M-P,C-V1-C-C,lateral-tongue-bilabial-bilabial
living,L-IH1-V-IH0-NG,C-V1-C-V0-C,lateral-tongue-labiodental-tongue-velar
weeks,W-IY1-K-S,C-V1-C-C,labiovelar-tongue-velar-alveolar
sleeping,S-L-IY1-P-IH0-NG,C-C-V1-C-V0-C,alveolar-lateral-tongue-bilabial-tongue-velar
peel,P-IY1-L,C-V1-C,bilabial-tongue-lateral
limb,L-IH1-M,C-V1-C,lateral-tongue-bilabial
blew,B-L-UW1,C-C-V1,bilabial-lateral-tongue
simplest,S-IH1-M-P-L-AH0-S-T,C-V1-C-C-C-V0-C-C,alveolar-tongue-bilabial-bilabial-lateral-tongue-alveolar-alveolar
feel,F-IY1-L,C-V1-C,labiodental-tongue-lateral
marble,M-AA1-R-B-AH0-L,C-V1-C-C-V0-C,bilabial-tongue-alveolar-bilabial-tongue-lateral
kindle,K-IH1-N-D-AH0-L,C-V1-C-C-V0-C,velar-tongue-alveolar-alveolar-tongue-lateral
schools,S-K-UW1-L-Z,C-C-V1-C-C,alveolar-velar-tongue-lateral-alveolar
built,B-IH1-L-T,C-V1-C-C,bilabial-tongue-lateral-alveolar
hero,HH-IH1-R-OW0,C-V1-C-VV0,pharyngeal-tongue-alveolar-tongue
filled,F-IH1-L-D,C-V1-C-C,labiodental-tongue-lateral-alveolar
scarce,S-K-EH1-R-S,C-C-V1-C-C,alveolar-velar-tongue-alveolar-alveolar
years,Y-IH1-R-Z,C-V1-C-C,velar-tongue-alveolar-alveolar
sticky,S-T-IH1-K-IY0,C-C-V1-C-V0,alveolar-alveolar-tongue-velar-tongue
clink,K-L-IH1-NG-K,C-C-V1-C-C,velar-lateral-tongue-velar-velar
penny,P-EH1-N-IY0,C-V1-C-V0,bilabial-tongue-alveolar-tongue
lingers,L-IH1-NG-G-ER0-Z,C-V1-C-C-V0-C,lateral-tongue-velar-velar-tongue-alveolar
health,HH-EH1-L-TH,C-V1-C-C,pharyngeal-tongue-lateral-interdental
sills,S-IH1-L-Z,C-V1-C-C,alveolar-tongue-lateral-alveolar
slipped,S-L-IH1-P-T,C-C-V1-C-C,alveolar-lateral-tongue-bilabial-alveolar
buckle,B-AH1-K-AH0-L,C-V1-C-V0-C,bilabial-tongue-velar-tongue-lateral
neck,N-EH1-K,C-V1-C,alveolar-tongue-velar
bills,B-IH1-L-Z,C-V1-C-C,bilabial-tongue-lateral-alveolar
clips,K-L-IH1-P-S,C-C-V1-C-C,velar-lateral-tongue-bilabial-alveolar
tilted,T-IH1-L-T-IH0-D,C-V1-C-C-V0-C,alveolar-tongue-lateral-alveolar-tongue-alveolar
seals,S-IY1-L-Z,C-V1-C-C,alveolar-tongue-lateral-alveolar
meal,M-IY1-L,C-V1-C,bilabial-tongue-lateral
fool,F-UW1-L,C-V1-C,labiodental-tongue-lateral
split,S-P-L-IH1-T,C-C-C-V1-C,alveolar-bilabial-lateral-tongue-alveolar
cherish,CH-EH1-R-IH0-SH,C-V1-C-V0-C,palatoalveolar-tongue-alveolar-tongue-palatoalveolar
cook,K-UH1-K,C-V1-C,velar-tongue-velar
smuggled,S-M-AH1-G-AH0-L-D,C-C-V1-C-V0-C-C,alveolar-bilabial-tongue-velar-tongue-lateral-alveolar
colored,K-AH1-L-ER0-D,C-V1-C-V0-C,velar-tongue-lateral-tongue-alveolar
chink,CH-IH1-NG-K,C-V1-C-C,palatoalveolar-tongue-velar-velar
little,L-IH1-T-AH0-L,C-V1-C-V0-C,lateral-tongue-alveolar-tongue-lateral
else,EH1-L-S,V1-C-C,tongue-lateral-alveolar
party,P-AA1-R-T-IY0,C-V1-C-C-V0,bilabial-tongue-alveolar-alveolar-tongue
hang,HH-AE1-NG,C-V1-C,pharyngeal-tongue-velar
bushes,B-UH1-SH-AH0-Z,C-V1-C-V0-C,bilabial-tongue-palatoalveolar-tongue-alveolar
spilled,S-P-IH1-L-D,C-C-V1-C-C,alveolar-bilabial-tongue-lateral-alveolar
either,IY1-DH-ER0,V1-C-V0,tongue-interdental-tongue
mumble,M-AH1-M-B-AH0-L,C-V1-C-C-V0-C,bilabial-tongue-bilabial-bilabial-tongue-lateral
length,L-EH1-NG-K-TH,C-V1-C-C-C,lateral-tongue-velar-velar-interdental
held,HH-EH1-L-D,C-V1-C-C,pharyngeal-tongue-lateral-alveolar
spring,S-P-R-IH1-NG,C-C-C-V1-C,alveolar-bilabial-alveolar-tongue-velar
help,HH-EH1-L-P,C-V1-C-C,pharyngeal-tongue-lateral-bilabial
silver,S-IH1-L-V-ER0,C-V1-C-C-V0,alveolar-tongue-lateral-labiodental-tongue
x,EH1-K-S,V1-C-C,tongue-velar-alveolar
healthy,HH-EH1-L-TH-IY0,C-V1-C-C-V0,pharyngeal-tongue-lateral-interdental-tongue
hill,HH-IH1-L,C-V1-C,pharyngeal-tongue-lateral
does,D-AH1-Z,C-V1-C,alveolar-tongue-alveolar
silk,S-IH1-L-K,C-V1-C-C,alveolar-tongue-lateral-velar
hilt,HH-IH1-L-T,C-V1-C-C,pharyngeal-tongue-lateral-alveolar
